Feature,AylienNER + AGDISTIS,TagMe NED,DBpedia NER + AGDISTIS,Ambiverse NED,MeaningCloud NER + AGDISTIS,DBpedia NED,MeaningCloud NED,Textrazor NER + AGDISTIS,Dandelion NER + AGDISTIS,Dandelion NED,Ontotext NED,Babelfy NER + AGDISTIS,Ambiverse NER + AGDISTIS,Tagme NER + AGDISTIS,EntityClassifier NER + AGDISTIS,Babelfy NED,Stanford NER + AGDISTIS,Ontotext NER + AGDISTIS,AmbiverseNED 2.0,AmbiverseNER 2.0 + AGDISTIS
"e=1, caps",0.5002490759,0.6749932269,0.5428073347,0.1614885135,0.2329114901,0.6406219896,0.1737281803,0.5165828431,0.5801270203,0.5496461921,0.3778846537,0.1539010533,0.006902502157,0.4988472623,0.517102031,0.3596160495,0.5507947512,0.5100999943,0.6853609054,0.2121520169
"e=1, no caps",0.15364118,0.5733870968,0.1728229985,0.01075268817,0.07272232158,0.3590032004,0.07479664327,0.1919900265,0.3044528841,0.4787502103,0.2428148053,0.0512628157,0.001792114695,0.2544771316,0.09160231893,0.2881258572,0.08699287458,0.200213145,0.3207885305,0.05164501626
"e=1, explicit",0.5267374817,0.7847262085,0.5678587328,0.1501158765,0.2316781101,0.6774675198,0.1805221476,0.5244142505,0.6339067577,0.663701972,0.4213320588,0.1570164083,0.00768321513,0.5533344696,0.4931387371,0.3943997328,0.523071403,0.5329915109,0.6643026005,0.2117233267
"e=1, implicit",0.1068842123,0.2746535761,0.1318587277,0.05412907703,0.08842975207,0.2779494669,0.06334171757,0.1956685619,0.1757187755,0.1652534176,0.1319858996,0.05035902994,0,0.1214876033,0.1919053718,0.1965712995,0.2009618272,0.1605474549,0.4082644628,0.06515122394
"e=1, special char",0.2266765359,0.7233636712,0.1813101406,0.05699481865,0.1998903301,0.3247344044,0.05699481865,0.2645952548,0.3211878847,0.5010146479,0.4398131843,0.06039970392,0.0103626943,0.3380779386,0.1737820129,0.3097697649,0.2681284573,0.3193026959,0.4974093264,0.2642487047
"e=1, no special char",0.4335349067,0.6436862764,0.477947902,0.1310589164,0.1934014494,0.5949827473,0.158156251,0.4537129427,0.5308437048,0.5353510919,0.3364379946,0.135221471,0.005228136882,0.448903699,0.4357205257,0.3453467902,0.4538361598,0.4454953954,0.6059885932,0.1647580615
"e=1, words=1 or 1.5",0.4349452344,0.3675987343,0.4565017907,0.2807550242,0.04042179262,0.6076256307,0.3128607767,0.4809418753,0.4798845864,0.4597652076,0.2425272397,0.1752532533,0.01933216169,0.2078198092,0.4545512543,0.2376647028,0.4008493899,0.3828519594,0.5219683656,0.02811950791
"e=1, words=2 or 2.5",0.4836697628,0.7456925235,0.5414376801,0.1025695612,0.2123048388,0.6681587317,0.1063039641,0.5288628207,0.5717279829,0.5820070353,0.3582309107,0.1537802856,0.0009345794393,0.5560684835,0.4787598319,0.4106921633,0.5137543403,0.4881516918,0.661682243,0.1873831776
"e=1, words=3 or 3.5",0.3696098632,0.7889931569,0.394904375,0.03611660504,0.3640897756,0.476838339,0.09710267406,0.3414820612,0.5344232514,0.552198778,0.4267072142,0.06562707156,0.002493765586,0.5405172191,0.3587972944,0.3787967652,0.4473303504,0.4686420083,0.6359102244,0.3509432458
"e=1, words=4 or 4.5",0.2175572519,0.7352611004,0.2289440204,0.01308615049,0.2213740458,0.3041507634,0.04580152672,0.1163809286,0.3532281716,0.5224313181,0.4307172314,0.02849872774,0,0.3511450382,0.183538002,0.2778950185,0.2385343512,0.2976615077,0.4732824427,0.1908396947
