Feature,RNLIWOD,RelMatch,AnnotationofSpotProperty,RelationMatcher,ReMatch
"rel=1, explicit",0.3586102626,0.2629234507,0.2871425034,0.1163360232,0.5255028496
"rel=1, implicit",0.1930773162,0.07099436765,0.1658754187,0.08999699622,0.1517948782
"rel=1, present",0.2808522346,0.1682331461,0.2332504995,0.1068975229,0.3409562342
"rel=1, not present",0,0,0,0,0
"rel=1, wc=1",0.2711474037,0.1780773355,0.2292696359,0.1183594504,0.3555034502
"rel=1, wc=2",0.2828914838,0.1525499987,0.2331728827,0.09503807087,0.3043906502
"rel=1, wc>2",0.2612612613,0.07547169811,0.1692872117,0.03513337581,0.2193600447
"rel=2, 0 hidden",0.2930147036,0.103333158,0.181179212,0.08997737116,0.2675282494
"rel=2, 1 hidden",0.1985248011,0.06665679158,0.1515286624,0.08650069261,0.08822761416
"rel=2, 2 hidden",0,0,0,0,0
"rel=2, 0 explicit",0.2055292224,0.05423345639,0.1485979454,0.0883402101,0.1508697671
"rel=2, 1 explicit",0.3067497666,0.1094386694,0.2091715057,0.08981138949,0.2682174716
"rel=2, 2 explicit",0.374834556,0.1612633854,0.1826776358,0.08979332001,0.3811978824
"rel=2, av. wc=0.5",0.2019858054,0.06837194337,0.168281489,0.08724401324,0.07747773525
"rel=2, av. wc=1",0.2872865737,0.1099738788,0.1806491309,0.1060363388,0.2611518469
"rel=2, av. wc=1.5",0.2980145292,0.08919051914,0.1798561151,0.06164334706,0.2501119769
"rel=2, av. wc=2",0.2947595882,0.0958725706,0.1660493475,0.0736474589,0.3282752926
