Feature,RNLIWOD,RelMatch,AnnotationofSpotProperty,RelationMatcher,ReMatch
"rel=1, explicit",0.3465266559,0.2625201939,0.2851373183,0.09695745751,0.4334466208
"rel=1, implicit",0.1897711978,0.07065948856,0.16487214,0.07025571938,0.1089199863
"rel=1, present",0.273688332,0.1679718089,0.2321848081,0.0863482112,0.2708245685
"rel=1, not present",0,0,0,0,0
"rel=1, wc=1",0.2638190955,0.1777638191,0.2286432161,0.09742462236,0.293913571
"rel=1, wc=2",0.2761020882,0.1519721578,0.2320185615,0.07416859954,0.2281705373
"rel=1, wc>2",0.25,0.07547169811,0.1603773585,0.02547169717,0.1503236228
"rel=2, 0 hidden",0.3489297833,0.1299921691,0.239624119,0.0745105711,0.1941823486
"rel=2, 1 hidden",0.2409766454,0.07961783439,0.1942675159,0.06730360892,0.06312114051
"rel=2, 2 hidden",0,0,0,0,0
"rel=2, 0 explicit",0.2586490939,0.06754530478,0.194398682,0.07224052669,0.1036981759
"rel=2, 1 explicit",0.3832293832,0.1465696466,0.2879417879,0.07155232079,0.2024983768
"rel=2, 2 explicit",0.4047958215,0.1908831909,0.2279202279,0.07820512792,0.2778756874
"rel=2, av. wc=0.5",0.259009009,0.08445945946,0.222972973,0.06801801757,0.05548036757
"rel=2, av. wc=1",0.34004329,0.1376623377,0.2383116883,0.08839826779,0.1957440999
"rel=2, av. wc=1.5",0.3719569288,0.1221910112,0.25,0.04859550506,0.1728537291
"rel=2, av. wc=2",0.3157349896,0.102484472,0.1925465839,0.0638716354,0.2323658349
