Feature,RNLIWOD,RelMatch,AnnotationofSpotProperty,RelationMatcher,ReMatch
"rel=1, explicit",0.3715670436,0.2633279483,0.2891760905,0.1453957997,0.6672051696
"rel=1, implicit",0.1965006729,0.07133243607,0.1668909825,0.1251682369,0.2503364738
"rel=1, present",0.2884012539,0.1684952978,0.2343260188,0.1402821317,0.4601025933
"rel=1, not present",0,0,0,0,0
"rel=1, wc=1",0.2788944724,0.1783919598,0.2298994975,0.1507537688,0.4497487437
"rel=1, wc=2",0.2900232019,0.1531322506,0.2343387471,0.13225058,0.4570765661
"rel=1, wc>2",0.2735849057,0.07547169811,0.179245283,0.05660377358,0.4056603774
"rel=2, 0 hidden",0.2525450274,0.08574784652,0.1456538763,0.1135473767,0.4299138606
"rel=2, 1 hidden",0.1687898089,0.05732484076,0.1242038217,0.1210191083,0.1464968153
"rel=2, 2 hidden",0,0,0,0,0
"rel=2, 0 explicit",0.1705107084,0.04530477759,0.1202635914,0.1136738056,0.2767710049
"rel=2, 1 explicit",0.2557172557,0.08731808732,0.1642411642,0.1205821206,0.3970893971
"rel=2, 2 explicit",0.349002849,0.1396011396,0.1524216524,0.1054131054,0.6068376068
"rel=2, av. wc=0.5",0.1655405405,0.05743243243,0.1351351351,0.1216216216,0.1283783784
"rel=2, av. wc=1",0.2487012987,0.09155844156,0.1454545455,0.1324675325,0.3922077922
"rel=2, av. wc=1.5",0.2485955056,0.0702247191,0.1404494382,0.08426966292,0.452247191
"rel=2, av. wc=2",0.2763975155,0.0900621118,0.1459627329,0.08695652174,0.5590062112
