Feature,RNLIWOD,RelMatch,AnnotationofSpotProperty,RelationMatcher,ReMatch
rel=1,0.2283839473,0.145323741,0.1935251799,0.089195412,0.2799173554
rel=2,0.244619418,0.0840730469,0.1554977156,0.0771544849,0.2168187769
"rel=1, explicit",0.3169098517,0.2471910112,0.2552166934,0.1062115932,0.4707631101
"rel=1, implicit",0.1564428509,0.0625814863,0.1434159061,0.0748659689,0.122116645
"rel=1, not hidden",0.2296949966,0.1475529584,0.1943024105,0.0900702132,0.2829140147
"rel=1, hidden",0.1,0,0.15,0.0333333333,0.0843920148
"rel=1, wc=1",0.2115309933,0.1351084813,0.1814595661,0.0896683134,0.2663263048
"rel=1, wc>=2",0.319755171,0.201863354,0.2639751553,0.102394824,0.3584901607
"rel=2, 0 hidden",0.1762917934,0.0529100529,0.1126472094,0.0818713446,0.0837137763
"rel=2, 1 or 2 hidden",0.2177777778,0.0722222222,0.13,0.1,0.3616666667
"rel=2, 0 explicit",0.1727453708,0.04843557,0.1355017282,0.0729455986,0.1257745854
"rel=2, 1 explicit",0.2240601504,0.0616541353,0.1323308271,0.1007518797,0.3488721805
"rel=2, 2 explicit",0.3170500181,0.1443844308,0.1656937034,0.085455646,0.3487681518
"rel=2, av. wc=1",0.1915481833,0.0687203792,0.1180884676,0.1050552923,0.2977883096
"rel=2, av. wc=1.5",0.2950625634,0.0818762727,0.1892307693,0.0624049445,0.2470976889
"rel=2, av. wc=2",0.3178479479,0.1084561263,0.1667096774,0.093611638,0.3450038354
